id,proyecto_id,fecha,mo_propia,mo_terceros,materiales,herramientas,horas,metros,importe,descripcion
74,5,2026-05-01,462300.00,647750.61,0.00,0.00,176.00,0.00,1313702.41,
75,5,2026-05-16,462300.00,647750.61,0.00,0.00,176.00,0.00,1313702.41,
76,5,2026-06-01,2475000.00,397954.03,0.00,0.00,352.00,0.00,3798667.24,
77,5,2026-06-16,2475000.00,397954.03,0.00,0.00,352.00,0.00,3798667.24,
78,5,2026-07-01,2475000.00,397954.03,0.00,0.00,352.00,0.00,3798667.24,
79,5,2026-07-16,2475000.00,397954.03,0.00,0.00,352.00,0.00,3798667.24,
56,10,2026-05-01,38521500.00,1212702.30,0.00,330000.00,4840.00,0.00,47313208.28,
57,10,2026-05-16,38521500.00,1212702.30,0.00,330000.00,4840.00,0.00,47313208.28,
58,10,2026-06-01,34931250.00,1177817.14,0.00,330000.00,4752.00,0.00,40939952.49,
59,10,2026-06-16,34931250.00,1177817.14,0.00,330000.00,4752.00,0.00,40939952.49,
60,10,2026-07-01,34931250.00,1177817.14,0.00,330000.00,4752.00,0.00,40939952.49,
61,10,2026-07-16,34931250.00,1177817.14,0.00,330000.00,4752.00,0.00,40939952.49,
50,14,2026-05-01,41634478.55,0.00,0.00,550000.00,5280.00,0.00,74977614.30,
51,14,2026-05-16,41634478.55,0.00,0.00,550000.00,5280.00,0.00,74977614.30,
52,14,2026-06-01,44247076.62,0.00,0.00,650000.00,5280.00,0.00,73375862.33,
53,14,2026-06-16,44247076.62,0.00,0.00,650000.00,5280.00,0.00,73375862.33,
54,14,2026-07-01,44247076.62,0.00,0.00,650000.00,5280.00,0.00,73375862.33,
55,14,2026-07-16,44247076.62,0.00,0.00,650000.00,5280.00,0.00,73375862.33,
44,15,2026-05-01,21060000.00,0.00,0.00,200000.00,2288.00,0.00,15500000.00,
45,15,2026-05-16,21060000.00,0.00,0.00,200000.00,2288.00,0.00,15500000.00,
46,15,2026-06-01,19850000.00,0.00,320000.00,200000.00,2288.00,0.00,26000000.00,
47,15,2026-06-16,19850000.00,0.00,320000.00,200000.00,2288.00,0.00,26000000.00,
48,15,2026-07-01,19850000.00,0.00,0.00,200000.00,2288.00,0.00,26000000.00,
49,15,2026-07-16,19850000.00,0.00,0.00,200000.00,2288.00,0.00,26000000.00,
31,16,2025-12-31,15809790.26,16997349.53,58164066.45,0.00,5386.69,1735.39,107552957.44,
32,16,2026-01-31,49970312.33,27516897.78,54569347.57,0.00,7439.11,809.63,156781381.72,
33,16,2026-02-28,50258050.02,26587073.29,74997409.37,0.00,5104.96,2563.87,181789263.67,
34,16,2026-03-31,56845857.21,15344126.37,81165693.08,0.00,7418.07,1908.79,183719352.05,
35,16,2026-04-30,25917744.66,12818398.46,62452338.37,0.00,8985.71,2974.29,117151404.81,
62,18,2026-05-01,9888900.00,4449159.76,0.00,527500.00,1232.00,0.00,15986644.12,
63,18,2026-05-16,9888900.00,4449159.76,0.00,527500.00,1232.00,0.00,15986644.12,
64,18,2026-06-01,8409375.00,7150963.18,0.00,27500.00,1144.00,0.00,18474079.54,
65,18,2026-06-16,8409375.00,7150963.18,0.00,27500.00,1144.00,0.00,18474079.54,
66,18,2026-07-01,8409375.00,7150963.18,0.00,27500.00,1144.00,0.00,18474079.54,
67,18,2026-07-16,8409375.00,7150963.18,0.00,27500.00,1144.00,0.00,18474079.54,
68,19,2026-05-01,7336800.00,546391.79,0.00,27500.00,880.00,0.00,9813059.45,
69,19,2026-05-16,7336800.00,546391.79,0.00,27500.00,880.00,0.00,9813059.45,
70,19,2026-06-01,6468750.00,863055.36,0.00,27500.00,880.00,0.00,8118800.55,
71,19,2026-06-16,6468750.00,863055.36,0.00,27500.00,880.00,0.00,8118800.55,
72,19,2026-07-01,6468750.00,863055.36,0.00,27500.00,880.00,0.00,8118800.55,
73,19,2026-07-16,6468750.00,863055.36,0.00,27500.00,880.00,0.00,8118800.55,
42,21,2026-05-10,90000000.00,15000000.00,20000000.00,980000.00,350.00,180.00,500000000.00,aaaabbbb
