id,created_at,updated_at,deleted_at,version,nombre,fecha_inicio,fecha_final,estado,importe_mat,importe_mo,comentario,centro_costo,terceros,herramientas,superficie,ingresos,oportunidad_id,responsable_id
3,2026-03-19 22:06:19.092901,2026-05-12 10:56:09.288775,,2,Camino del Peru y Santiago,2025-10-01,2027-12-31,04-terminados,175000000.00,125000000.00,Proyecto de construcción e inversión inmobiliaria.,1096,60000000.00,30000000.00,93.13,500000000.00,193,1
4,2026-03-19 22:06:19.256456,2026-05-12 10:56:32.481438,,2,General Paz 253,2024-02-23,2027-12-31,03-conclusion,35000000.00,25000000.00,Proyecto de construcción e inversión inmobiliaria.,1183,12000000.00,6000000.00,90.74,100000000.00,194,1
5,2026-03-19 22:06:19.366270,2026-05-12 10:41:16.205741,,2,Buenos Aires 744,2024-02-01,2027-12-31,02-ejecucion,196000000.00,140000000.00,Proyecto de construcción e inversión inmobiliaria.,1200,67200000.00,33600000.00,93.36,560000000.00,195,1
6,2026-03-19 22:06:19.540664,2026-05-12 10:57:27.979903,,3,Loteos Prados de Yerba Buena,2024-01-15,2027-12-31,01-plan,35000000.00,25000000.00,Proyecto de construcción e inversión inmobiliaria.,1201,12000000.00,6000000.00,87.55,100000000.00,196,1
7,2026-03-19 22:06:19.705658,2026-05-12 10:58:55.571603,,3,Celedonio Gutierrez 247,2024-01-01,2027-12-31,03-conclusion,80500000.00,57500000.00,Proyecto de construcción e inversión inmobiliaria.,1202,27600000.00,13800000.00,91.02,230000000.00,197,1
8,2026-03-19 22:06:19.933397,2026-05-12 10:55:56.606189,,2,Altos de Yerba Buena,2024-01-04,2027-12-31,04-terminados,311500000.00,222500000.00,Proyecto de construcción e inversión inmobiliaria.,1206,106800000.00,53400000.00,91.20,890000000.00,198,1
9,2026-03-19 22:06:20.766507,2026-05-12 10:59:37.418400,,2,DIVISADERO II,2025-06-04,2027-12-31,01-plan,196000000.00,140000000.00,Proyecto de construcción e inversión inmobiliaria.,1212,67200000.00,33600000.00,85.65,560000000.00,199,1
10,2026-03-19 22:06:20.934495,2026-05-12 10:40:34.388220,,2,La Rioja 474-Boreal,2024-01-08,2027-12-31,02-ejecucion,507500000.00,362500000.00,Proyecto de construcción e inversión inmobiliaria.,1213,174000000.00,87000000.00,91.08,1450000000.00,200,1
11,2026-03-19 22:06:21.099872,2026-03-19 22:06:21.099872,,1,Mate de Luna 1845,2026-01-31,2027-12-31,04-terminados,210000000.00,150000000.00,Proyecto de construcción e inversión inmobiliaria.,1216,72000000.00,36000000.00,87.86,600000000.00,201,1
12,2026-03-19 22:06:21.232964,2026-05-12 10:57:00.141491,,3,Loteo Tres Socios Alderetes,2024-03-20,2027-12-31,01-plan,105000000.00,75000000.00,Proyecto de construcción e inversión inmobiliaria.,1217,36000000.00,18000000.00,85.22,300000000.00,202,1
13,2026-03-19 22:06:21.384284,2026-05-12 14:55:36.610746,,3,San Pablo Residences,2024-01-27,2027-12-31,01-plan,35000000.00,25000000.00,Proyecto de construcción e inversión inmobiliaria.,1222,12000000.00,6000000.00,92.35,100000000.00,203,1
14,2026-03-19 22:06:21.550030,2026-03-19 22:06:21.550030,,1,Torres SP SRL-Solana Yerba s/n-San Pablo,2024-08-30,2027-12-31,02-ejecucion,455000000.00,325000000.00,Proyecto de construcción e inversión inmobiliaria.,1224,156000000.00,78000000.00,94.56,1300000000.00,204,1
15,2026-03-19 22:06:21.713595,2026-05-12 11:32:22.257710,,5,Catamarca y Corrientes,2024-12-04,2027-12-31,02-ejecucion,0.00,0.00,Proyecto de construcción e inversión inmobiliaria.,1225,0.00,0.00,89.09,0.00,205,1
16,2026-03-19 22:06:21.849710,2026-05-12 10:55:43.081541,,3,Florida 115-Obra Pringles,2024-11-01,2027-12-31,04-terminados,122500000.00,87500000.00,Proyecto de construcción e inversión inmobiliaria.,1226,42000000.00,21000000.00,90.36,350000000.00,206,1
17,2026-03-19 22:06:21.998462,2026-03-19 22:06:21.998462,,1,Mate de Luna 1872,2024-01-05,2027-12-31,02-ejecucion,52500000.00,37500000.00,Proyecto de construcción e inversión inmobiliaria.,1229,18000000.00,9000000.00,89.90,150000000.00,207,1
18,2026-03-19 22:06:22.449311,2026-05-12 11:27:32.317182,,3,AXION - Emilio Castelar 1003,2025-11-19,2027-12-31,02-ejecucion,175000000.00,125000000.00,Proyecto de construcción e inversión inmobiliaria.,1233,60000000.00,30000000.00,93.56,500000000.00,208,1
19,2026-03-19 22:06:22.613762,2026-05-12 10:40:20.978998,,3,Francia 118,2025-12-17,2027-12-31,02-ejecucion,105000000.00,75000000.00,Proyecto de construcción e inversión inmobiliaria.,1236,36000000.00,18000000.00,93.54,300000000.00,209,1
20,2026-03-24 14:22:44.889406,2026-05-12 10:55:03.353832,,2,Proyecto de Prueba Automática V2,,,04-terminados,0.00,0.00,Proyecto creado para probar creación automática de contacto y oportunidad,,0.00,0.00,,0.00,189,1
21,2026-03-24 14:33:49.363742,2026-05-12 10:54:55.971525,,3,Casa Moderna Belgrano,,,04-terminados,0.00,0.00,Prueba final de nombres consistentes. xxxx,,0.00,0.00,,0.00,190,1
