cod_cuenta,descripcion,ingresos_diario,ingresos_presup,egresos_diario,egresos_presup
4.01.02.001,Ing. Obra 3ros - Certif Obras y serv,1561273949.53,1561273949.53,0.0,0.0
4.01.02.002,Ing. Obra 3ros - Honorarios por Dirección,104142273.52,104142273.52,0.0,0.0
5.01.01.001,Honorarios Proyecto y Dir.,0.0,0.0,15773900.0,15773900.0
5.01.01.003,Permisos Municipales,0.0,0.0,1732716.0,1732716.0
5.01.03.001,Sueldos y jornales,0.0,0.0,752826698.2,752826698.2
5.01.03.004,Cargas Sociales,0.0,0.0,193843949.37,193843949.37
5.01.04.001,Sueldos y jornales,0.0,0.0,348258914.45,348258914.45
5.01.04.004,Cargas Sociales,0.0,0.0,97195492.96,97195492.96
5.01.05.001,Sueldos y jornales,0.0,0.0,26987560.43,26987560.43
5.01.05.004,Cargas Sociales,0.0,0.0,-19547.97,-19547.97
5.01.05.005,Materiales,0.0,0.0,26721999.0,26721999.0
5.01.05.006,Mano de obra de 3°,0.0,0.0,131221167.91,131221167.91
5.01.05.007,Gastos Diversos,0.0,0.0,51601881.26,51601881.26
5.01.06.001,Sueldos y jornales,0.0,0.0,27568817.23,27568817.23
5.01.06.004,Cargas Sociales,0.0,0.0,5770941.63,5770941.63
5.01.07.001,Sueldos y jornales,0.0,0.0,7910450.23,7910450.23
5.01.07.004,Cargas Sociales,0.0,0.0,2110113.72,2110113.72
5.01.08.001,Sueldos y jornales,0.0,0.0,597387.64,597387.64
5.01.08.004,Cargas Sociales,0.0,0.0,140712.56,140712.56
5.01.11.009,Fletes,0.0,0.0,104182.3,104182.3
50111017,Eg obra Ingresos Brutos,0.0,0.0,15371604.34,15371604.34
