cod_cuenta,descripcion,ingresos_diario,ingresos_presup_real,ingresos_presup,egresos_diario,egresos_presup_real,egresos_presup
4.01.02.001,Ing. Obra 3ros - Certif Obras y serv,1561273949.53,1561273949.53,0.0,0.0,0.0,0.0
4.01.02.002,Ing. Obra 3ros - Honorarios por Dirección,104142273.52,104142273.52,0.0,0.0,0.0,0.0
5.01.01.001,Honorarios Proyecto y Dir.,0.0,0.0,0.0,15773900.0,15773900.0,0.0
5.01.01.003,Permisos Municipales,0.0,0.0,0.0,1732716.0,1732716.0,0.0
5.01.03.001,Sueldos y jornales,0.0,0.0,0.0,752826698.2,752826698.2,336420536.9
5.01.03.002,Vacaciones,0.0,0.0,528389429.88,0.0,0.0,0.0
5.01.03.004,Cargas Sociales,0.0,0.0,0.0,193843949.37,193843949.37,0.0
5.01.03.005,Materiales,0.0,0.0,0.0,0.0,0.0,7283500.0
5.01.03.006,Mano de obra de 3°,0.0,0.0,0.0,0.0,0.0,39126434.25
5.01.04.001,Sueldos y jornales,0.0,0.0,0.0,348258914.45,348258914.45,432540690.3
5.01.04.002,Vacaciones,0.0,0.0,630908825.97,0.0,0.0,0.0
5.01.04.004,Cargas Sociales,0.0,0.0,0.0,97195492.96,97195492.96,0.0
5.01.04.005,Materiales,0.0,0.0,0.0,0.0,0.0,9364500.0
5.01.04.006,Mano de obra de 3°,0.0,0.0,0.0,0.0,0.0,50305415.41
5.01.05.001,Sueldos y jornales,0.0,0.0,0.0,26987560.43,26987560.43,0.0
5.01.05.002,Vacaciones,0.0,0.0,128045002.94,0.0,0.0,0.0
5.01.05.004,Cargas Sociales,0.0,0.0,0.0,-19547.97,-19547.97,0.0
5.01.05.005,Materiales,0.0,0.0,0.0,26721999.0,26721999.0,0.0
5.01.05.006,Mano de obra de 3°,0.0,0.0,0.0,131221167.91,131221167.91,0.0
5.01.05.007,Gastos Diversos,0.0,0.0,0.0,51601881.26,51601881.26,0.0
5.01.06.001,Sueldos y jornales,0.0,0.0,0.0,27568817.23,27568817.23,192240306.8
5.01.06.002,Vacaciones,0.0,0.0,269247195.22,0.0,0.0,0.0
5.01.06.004,Cargas Sociales,0.0,0.0,0.0,5770941.63,5770941.63,0.0
5.01.06.005,Materiales,0.0,0.0,0.0,0.0,0.0,4162000.0
5.01.06.006,Mano de obra de 3°,0.0,0.0,0.0,0.0,0.0,22357962.4
5.01.07.001,Sueldos y jornales,0.0,0.0,0.0,7910450.23,7910450.23,0.0
5.01.07.004,Cargas Sociales,0.0,0.0,0.0,2110113.72,2110113.72,0.0
5.01.08.001,Sueldos y jornales,0.0,0.0,0.0,597387.64,597387.64,0.0
5.01.08.004,Cargas Sociales,0.0,0.0,0.0,140712.56,140712.56,0.0
5.01.10.002,Vacaciones,0.0,0.0,10467417.0,0.0,0.0,0.0
5.01.11.009,Fletes,0.0,0.0,0.0,104182.3,104182.3,0.0
50111017,Eg obra Ingresos Brutos,0.0,0.0,0.0,15371604.34,15371604.34,0.0
