cuenta_id,cod_cuenta,descripcion,ingresos_diario,ingresos_presup,egresos_diario,egresos_presup
1,5.01.01.001,Honorarios Proyecto y Dir.,0.0,0.0,1959189.0,15773900.0
3,5.01.01.003,Permisos Municipales,0.0,0.0,381215.0,1732716.0
75,5.01.11.009,Fletes,0.0,0.0,0.0,104182.3
30,5.01.05.005,Materiales,0.0,0.0,5218065.69,26721999.0
31,5.01.05.006,Mano de obra de 3°,0.0,0.0,31079010.72,131221167.91
26,5.01.05.001,Sueldos y jornales,0.0,0.0,4408902.98,26987560.43
29,5.01.05.004,Cargas Sociales,0.0,0.0,0.0,-19547.97
14,5.01.03.001,Sueldos y jornales,0.0,0.0,134426287.66,752826698.2
17,5.01.03.004,Cargas Sociales,0.0,0.0,34878777.52,193843949.37
20,5.01.04.001,Sueldos y jornales,0.0,0.0,90304339.79,348258914.45
23,5.01.04.004,Cargas Sociales,0.0,0.0,24900160.45,97195492.96
46,5.01.07.004,Cargas Sociales,0.0,0.0,541246.27,2110113.72
43,5.01.07.001,Sueldos y jornales,0.0,0.0,2697663.95,7910450.23
37,5.01.06.001,Sueldos y jornales,0.0,0.0,6549263.6,27568817.23
40,5.01.06.004,Cargas Sociales,0.0,0.0,1521738.35,5770941.63
49,5.01.08.001,Sueldos y jornales,0.0,0.0,0.0,597387.64
52,5.01.08.004,Cargas Sociales,0.0,0.0,0.0,140712.56
101,4.01.02.002,Ing. Obra 3ros - Honorarios por Dirección,23537393.1,104142273.52,0.0,0.0
102,4.01.02.001,Ing. Obra 3ros - Certif Obras y serv,386965343.52,1561273949.53,0.0,0.0
32,5.01.05.007,Gastos Diversos,0.0,0.0,9197034.91,51601881.26
105,50111017,Eg obra Ingresos Brutos,0.0,0.0,3936473.93,15371604.34
