cod_cuenta,descripcion,ingresos_diario,ingresos_presup,egresos_diario,egresos_presup
4.01.02.001,Ing. Obra 3ros - Certif Obras y serv,386965343.52,386965343.52,0.0,0.0
4.01.02.002,Ing. Obra 3ros - Honorarios por Dirección,23537393.1,23537393.1,0.0,0.0
5.01.01.001,Honorarios Proyecto y Dir.,0.0,0.0,1959189.0,1959189.0
5.01.01.003,Permisos Municipales,0.0,0.0,381215.0,381215.0
5.01.03.001,Sueldos y jornales,0.0,0.0,134426287.66,134426287.66
5.01.03.004,Cargas Sociales,0.0,0.0,34878777.52,34878777.52
5.01.04.001,Sueldos y jornales,0.0,0.0,90304339.79,90304339.79
5.01.04.004,Cargas Sociales,0.0,0.0,24900160.45,24900160.45
5.01.05.001,Sueldos y jornales,0.0,0.0,4408902.98,4408902.98
5.01.05.005,Materiales,0.0,0.0,5218065.69,5218065.69
5.01.05.006,Mano de obra de 3°,0.0,0.0,31079010.72,31079010.72
5.01.05.007,Gastos Diversos,0.0,0.0,9197034.91,9197034.91
5.01.06.001,Sueldos y jornales,0.0,0.0,6549263.6,6549263.6
5.01.06.004,Cargas Sociales,0.0,0.0,1521738.35,1521738.35
5.01.07.001,Sueldos y jornales,0.0,0.0,2697663.95,2697663.95
5.01.07.004,Cargas Sociales,0.0,0.0,541246.27,541246.27
50111017,Eg obra Ingresos Brutos,0.0,0.0,3936473.93,3936473.93
